id,shares
1,2273
2,1833
3,1201
4,461
5,2166
6,789
7,146
8,980
9,1496
10,1287
11,1097
12,1518
13,514
14,950
15,2107
16,1804
17,267
18,1450
19,676
20,93
21,2077
22,1323
23,487
24,1099
25,1814
26,1266
27,1504
28,2266
29,360
30,472
31,1756
32,2259
33,1668
34,71
35,1847
36,929
37,842
38,316
39,594
40,2092
41,1138
42,299
43,963
44,954
45,1065
46,2086
47,1541
48,1030
49,949
50,183
51,1359
52,447
53,363
54,915
55,1
56,786
57,1541
58,1513
59,1722
60,1190
61,2003
62,1396
63,800
64,2385
65,1478
66,960
67,645
68,2279
69,616
70,413
71,5
72,3
73,1288
74,1338
75,1235
76,2160
77,746
78,153
79,975
80,1749
81,1732
82,1465
83,1933
84,2381
85,784
86,462
87,295
88,2349
89,1734
90,1880
91,711
92,547
93,358
94,1342
95,367
96,1934
97,405
98,378
99,1676
100,960
101,706
102,1028
103,862
104,550
105,87
106,376
107,1091
108,2291
109,1390
110,119
111,1144
112,607
113,2083
114,3
115,742
116,1622
117,1832
118,1973
119,188
120,1312
121,2014
122,1248
123,1651
124,611
125,1236
126,2382
127,1753
128,1289
129,1992
130,269
131,2329
132,715
133,171
134,951
135,1825
136,1363
137,158
138,1152
139,1724
140,513
141,1065
142,981
143,1871
144,1808
145,1937
146,1547
147,632
148,49
149,126
150,2381
151,2323
152,507
153,1482
154,2250
155,2079
156,2370
157,219
158,2237
159,67
160,2305
161,6
162,2131
163,1410
164,287
165,2236
166,531
167,2064
168,596
169,709
170,860
171,1629
172,450
173,1058
174,1033
175,1270
176,1411
177,537
178,1590
179,2032
180,1854
181,1035
182,179
183,1109
184,1179
185,483
186,2115
187,1290
188,441
189,1488
190,2311
191,2348
192,1689
193,1670
194,1572
195,1772
196,836
197,73
198,338
199,42
200,562
201,62
202,498
203,1297
204,118
205,304
206,2208
207,1933
208,62
209,289
210,2121
211,345
212,755
213,1894
214,1215
215,2057
216,247
217,1215
218,1772
219,499
220,1922
221,2289
222,2375
223,516
224,598
225,870
226,2058
227,1543
228,491
229,1683
230,2049
231,250
232,1087
233,2231
234,741
235,1652
236,2294
237,1636
238,230
239,255
240,730
241,494
242,2198
243,1577
244,579
245,2042
246,229
247,2232
248,249
249,1134
250,1967
251,1886
252,1733
253,1283
254,988
255,1707
256,2053
257,390
258,961
259,483
260,1425
261,1627
262,1116
263,1486
264,1739
265,160
266,1112
267,1067
268,1176
269,1701
270,358
271,1263
272,467
273,2202
274,996
275,2148
276,1086
277,845
278,253
279,1974
280,2292
281,765
282,97
283,195
284,658
285,1692
286,2399
287,1995
288,1809
289,667
290,872
291,779
292,1646
293,1287
294,1105
295,423
296,2082
297,1487
298,1945
299,2337
300,34
301,1580
302,1437
303,2260
304,584
305,1859
306,486
307,1893
308,986
309,2032
310,1200
311,21
312,1820
313,719
314,627
315,146
316,518
317,946
318,2358
319,1313
320,1500
321,1985
322,829
323,548
324,1195
325,1956
326,2235
327,965
328,1587
329,719
330,1435
331,2163
332,2116
333,1628
334,1603
335,740
336,47
337,63
338,962
339,2245
340,2392
341,1685
342,1784
343,2125
344,125
345,707
346,2133
347,234
348,2291
349,1812
350,745
351,1293
352,871
353,195
354,1705
355,2314
356,2193
357,716
358,622
359,2146
360,1882
361,729
362,1490
363,1072
364,1104
365,1128
366,531
367,2325
368,2308
369,1196
370,776
371,1432
372,96
373,2061
374,515
375,821
376,496
377,1966
378,2378
379,1651
380,1973
381,10
382,548
383,625
384,1549
385,2307
386,1491
387,2270
388,2209
389,1592
390,2075
391,1885
392,663
393,2
394,1331
395,1748
396,159
397,604
398,1614
399,1105
400,1991
401,1566
402,522
403,1536
404,470
405,2084
406,1308
407,195
408,1804
409,246
410,550
411,264
412,1035
413,690
414,685
415,1168
416,1842
417,2049
418,379
419,1049
420,604
421,109
422,216
423,1066
424,2055
425,1480
426,623
427,459
428,2190
429,633
430,1950
431,809
432,63
433,598
434,672
435,2185
436,1571
437,1394
438,1894
439,768
440,2260
441,2308
442,2336
443,1226
444,2158
445,745
446,649
447,138
448,1416
449,953
450,1316
451,1019
452,921
453,229
454,2311
455,842
456,1288
457,1880
458,1092
459,1689
460,1845
461,384
462,268
463,1618
464,2261
465,752
466,88
467,811
468,1350
469,1431
470,1235
471,807
472,683
473,166
474,1461
475,1213
476,701
477,2372
478,125
479,725
480,420
481,1166
482,2297
483,817
484,750
485,1639
486,2156
487,1159
488,2156
489,1477
490,1301
491,2
492,16
493,2331
494,1867
495,234
496,330
497,469
498,1521
499,1692
500,2379
501,1359
502,322
503,1551
504,1969
505,205
506,666
507,327
508,2279
509,1055
510,1402
511,1548
512,1308
513,1631
514,1179
515,1213
516,1905
517,493
518,775
519,788
520,988
521,126
522,1540
523,539
524,1507
525,2073
526,680
527,2218
528,109
529,1801
530,493
531,2065
532,354
533,795
534,556
535,1379
536,1239
537,862
538,184
539,2354
540,1123
541,738
542,602
543,1145
544,857
545,1532
546,616
547,997
548,1813
549,2300
550,2163
551,281
552,1501
553,1754
554,2068
555,1538
556,538
557,731
558,2278
559,94
560,303
561,525
562,1761
563,167
564,380
565,1536
566,1849
567,510
568,988
569,1629
570,1744
571,2006
572,998
573,2015
574,172
575,970
576,49
577,1123
578,303
579,639
580,1523
581,1430
582,626
583,1244
584,1028
585,1071
586,2066
587,1408
588,1110
589,1190
590,799
591,1830
592,493
593,1749
594,1645
595,1596
596,594
597,1244
598,2011
599,1090
600,863
601,607
602,2391
603,503
604,1550
605,1963
606,1740
607,2143
608,2390
609,666
610,294
611,1099
612,2250
613,531
614,355
615,1162
616,1141
617,732
618,2324
619,562
620,540
621,815
622,1238
623,447
624,1790
625,2128
626,705
627,865
628,1059
629,1020
630,2024
631,1344
632,1751
633,837
634,1755
635,1114
636,1869
637,1802
638,1505
639,50
640,1908
641,1003
642,162
643,1557
644,816
645,2151
646,1340
647,2139
648,1686
649,1040
650,1753
651,997
652,1675
653,883
654,1527
655,342
656,268
657,656
658,1119
659,1777
660,1319
661,730
662,442
663,1642
664,105
665,1921
666,1105
667,867
668,490
669,107
670,57
671,285
672,455
673,2161
674,1483
675,2283
676,681
677,124
678,1537
679,1193
680,2055
681,2050
682,199
683,2123
684,1725
685,1916
686,915
687,393
688,1739
689,690
690,1313
691,2343
692,576
693,406
694,1206
695,2277
696,922
697,470
698,294
699,1669
700,1198
701,1753
702,1586
703,1656
704,1130
705,159
706,1604
707,2386
708,860
709,1244
710,2134
